id,timestamp,type,comments,createdAt,updatedAt
119,2017-10-30 21:04:15.786+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:04:15.788+00,2017-10-30 21:04:15.788+00
120,2017-10-30 21:12:19.391+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:12:19.393+00,2017-10-30 21:12:19.393+00
121,2017-10-30 21:13:14.91+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:13:14.916+00,2017-10-30 21:13:14.916+00
122,2017-10-30 21:16:31.871+00,compmnany-dnc-scrub,"Before Count: 3792250, After Count: 1896125, Leads-removed: 1896125",2017-10-30 21:16:31.872+00,2017-10-30 21:16:31.872+00
123,2017-10-30 21:21:14.993+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:21:14.996+00,2017-10-30 21:21:14.996+00
124,2017-10-30 21:26:39.634+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:26:39.636+00,2017-10-30 21:26:39.636+00
125,2017-10-30 21:28:13.062+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:28:13.064+00,2017-10-30 21:28:13.064+00
126,2017-10-30 21:31:16.294+00,compmnany-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 21:31:16.297+00,2017-10-30 21:31:16.297+00
127,2017-10-30 21:33:07.648+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:33:07.65+00,2017-10-30 21:33:07.65+00
128,2017-10-30 21:45:05.69+00,compmnany-dnc-scrub,"Before Count: 1896125, After Count: 1896125, Leads-removed: 0",2017-10-30 21:45:05.692+00,2017-10-30 21:45:05.692+00
129,2017-10-30 22:23:16.419+00,national-dnc-import," Count: 228506765, Path: C:\Users\timhardy\Desktop\2017-6-1_Global_482EE987-47A6-48FB-ABF9-3E210E2A6E5F.txt",2017-10-30 22:23:16.421+00,2017-10-30 22:23:16.421+00
130,2017-10-30 22:50:29.005+00,national-dnc-import," Count: undefined, Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-30 22:50:29.007+00,2017-10-30 22:50:29.007+00
131,2017-10-30 22:51:15.066+00,national-dnc-scrub,"Before Count: 1896125, After Count: 1886775, Leads-removed: 9350",2017-10-30 22:51:15.066+00,2017-10-30 22:51:15.066+00
132,2017-10-30 23:02:17.053+00,national-dnc-import," Count: undefined, Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-30 23:02:17.056+00,2017-10-30 23:02:17.056+00
133,2017-10-30 23:02:25.532+00,national-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 23:02:25.532+00,2017-10-30 23:02:25.532+00
134,2017-10-30 23:12:20.1+00,national-dnc-import," Count: ,[object Object], Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-30 23:12:20.102+00,2017-10-30 23:12:20.102+00
135,2017-10-30 23:12:29.197+00,national-dnc-scrub,"Before Count: 0, After Count: 0, Leads-removed: 0",2017-10-30 23:12:29.197+00,2017-10-30 23:12:29.197+00
136,2017-10-30 23:17:16.98+00,national-dnc-import," Count: ,[object Object], Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-30 23:17:16.982+00,2017-10-30 23:17:16.982+00
137,2017-10-30 23:18:03.073+00,national-dnc-scrub,"Before Count: 1896125, After Count: 1886775, Leads-removed: 9350",2017-10-30 23:18:03.074+00,2017-10-30 23:18:03.074+00
138,2017-10-30 23:23:08.294+00,national-dnc-import," Count: undefined, Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-30 23:23:08.295+00,2017-10-30 23:23:08.295+00
139,2017-10-30 23:23:54.44+00,national-dnc-scrub,"Before Count: 1886775, After Count: 1886775, Leads-removed: 0",2017-10-30 23:23:54.44+00,2017-10-30 23:23:54.44+00
140,2017-10-30 23:28:10.794+00,national-dnc-import," Count: 57104891, Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-30 23:28:10.796+00,2017-10-30 23:28:10.796+00
141,2017-10-30 23:30:58.317+00,national-dnc-scrub,"Before Count: 1886775, After Count: 1886775, Leads-removed: 0",2017-10-30 23:30:58.317+00,2017-10-30 23:30:58.317+00
142,2017-10-30 23:31:55.486+00,compmnany-dnc-scrub,"Before Count: 1886775, After Count: 1886775, Leads-removed: 0",2017-10-30 23:31:55.488+00,2017-10-30 23:31:55.488+00
143,2017-10-30 23:35:13.641+00,national-dnc-scrub,"Before Count: 3533215, After Count: 2007985, Leads-removed: 1525230",2017-10-30 23:35:13.643+00,2017-10-30 23:35:13.643+00
144,2017-10-30 23:35:18.532+00,compmnany-dnc-scrub,"Before Count: 2007985, After Count: 2002071, Leads-removed: 5914",2017-10-30 23:35:18.532+00,2017-10-30 23:35:18.532+00
145,2017-10-30 23:35:25.899+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1525230, C-DNC Removed: 5914 Invalid Removed: NaN, Final Lead Count: undefined",2017-10-30 23:35:25.9+00,2017-10-30 23:35:25.9+00
146,2017-10-30 23:44:03.561+00,national-dnc-scrub,"Before Count: 3533215, After Count: 2007985, Leads-removed: 1525230",2017-10-30 23:44:03.563+00,2017-10-30 23:44:03.563+00
147,2017-10-30 23:44:08.36+00,compmnany-dnc-scrub,"Before Count: 2007985, After Count: 2002071, Leads-removed: 5914",2017-10-30 23:44:08.361+00,2017-10-30 23:44:08.361+00
148,2017-10-30 23:47:21.217+00,national-dnc-scrub,"Before Count: 3533215, After Count: 2007985, Leads-removed: 1525230",2017-10-30 23:47:21.22+00,2017-10-30 23:47:21.22+00
149,2017-10-30 23:47:25.984+00,compmnany-dnc-scrub,"Before Count: 2007985, After Count: 2002071, Leads-removed: 5914",2017-10-30 23:47:25.985+00,2017-10-30 23:47:25.985+00
150,2017-10-30 23:47:33.719+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1525230, C-DNC Removed: 5914 Invalid Removed: 1531356, Final Lead Count: 2002059",2017-10-30 23:47:33.721+00,2017-10-30 23:47:33.721+00
151,2017-10-30 23:56:47.448+00,national-dnc-scrub,"Before Count: 3533215, After Count: 2007985, Leads-removed: 1525230",2017-10-30 23:56:47.451+00,2017-10-30 23:56:47.451+00
152,2017-10-30 23:56:52.592+00,compmnany-dnc-scrub,"Before Count: 2007985, After Count: 2002071, Leads-removed: 5914",2017-10-30 23:56:52.593+00,2017-10-30 23:56:52.593+00
153,2017-10-30 23:57:00.367+00,leads-import," Orignal Lead Count: undefined, N-DNC Removed: 1525230, C-DNC Removed: 5914 Invalid Removed: NaN, Final Lead Count: 2002059",2017-10-30 23:57:00.368+00,2017-10-30 23:57:00.368+00
154,2017-10-31 00:04:31.662+00,compmnany-dnc-scrub,"Before Count: 7892952, After Count: 2002059, Leads-removed: 5890893",2017-10-31 00:04:31.663+00,2017-10-31 00:04:31.663+00
155,2017-10-31 00:05:45.434+00,compmnany-dnc-scrub,"Before Count: 2002059, After Count: 2002059, Leads-removed: 0",2017-10-31 00:05:45.435+00,2017-10-31 00:05:45.435+00
156,2017-10-31 01:58:05.91+00,national-dnc-import," Count: 57104891, Path: C:\Users\timhardy\Desktop\fulllistdnc_10_17_2017.txt",2017-10-31 01:58:05.912+00,2017-10-31 01:58:05.912+00
157,2017-10-31 01:58:51.954+00,national-dnc-scrub,"Before Count: 2002059, After Count: 2002059, Leads-removed: 0",2017-10-31 01:58:51.954+00,2017-10-31 01:58:51.954+00
158,2017-10-31 02:02:53.554+00,national-dnc-scrub,"Before Count: 3533215, After Count: 2007985, Leads-removed: 1525230",2017-10-31 02:02:53.555+00,2017-10-31 02:02:53.555+00
159,2017-10-31 02:02:56.24+00,compmnany-dnc-scrub,"Before Count: 2007985, After Count: 2002071, Leads-removed: 5914",2017-10-31 02:02:56.24+00,2017-10-31 02:02:56.24+00
160,2017-10-31 02:03:03.613+00,leads-import," Orignal Lead Count: 3533415, N-DNC Removed: 1525230, C-DNC Removed: 5914 Invalid Removed: 1531356, Final Lead Count: 2002059",2017-10-31 02:03:03.614+00,2017-10-31 02:03:03.614+00
161,2017-10-31 21:14:34.954+00,compmnany-dnc-scrub,"Before Count: 4004118, After Count: 2002059, Leads-removed: 2002059",2017-10-31 21:14:34.956+00,2017-10-31 21:14:34.956+00
